height,next_block_mean_fee,hour_mean_fee,six_hour_mean_fee,day_mean_fee,time_btwn_blocks,next_block_sat/vB,hour_block_sat/vB,six_hour_block_sat/vB,day_block_sat/vB,mempool_mean_fee,mempool_mean_vBytes,month,day,hour,minute
662853,41767.543956043955,17515.24726477024,1.0,1.0,401.995943069458,32.52028637730078,32.7597751582787,1.0,1.0,0.0001280095744680851,169.71922832645282,12,24,20,29
662854,26140.271523178813,22620.153965785383,9499.14385107183,1.0,55.39598798751831,27.87518796992481,12.192105263157895,11.6,1.0,0.00011289531653852446,173.84634385735322,12,24,20,30
662855,58219.09157894738,37906.348993288586,8825.83895279651,1.0,500.5798659324646,31.20165607503914,11.240837696335078,10.245901639344263,1.0,0.0001857713173470936,170.16150402185463,12,24,20,38
662856,109964.45882352944,23021.75254237289,8227.099497487436,1.0,53.67198395729065,30.796460176991154,9.543116490166414,9.58931222167244,1.0,0.00011301389665545922,187.80972836666075,12,24,20,39
662857,62973.41592920353,11843.0054200542,6625.916684653573,1.0,102.30396914482117,30.551801801801798,6.290789473684209,6.675735294117648,1.0,9.42904054312488e-05,195.77106521323387,12,24,20,41
662858,89864.5,43554.70391061452,6445.66364049024,4520.0,50.0039849281311,30.625093313731078,19.09069344251641,5.221445221445221,5.067264573991031,0.00011694073855544253,207.28871312309255,12,24,20,41
662859,43458.02564102563,12919.276190476188,6244.769326995247,4091.7631578947367,95.5519700050354,30.672511343227754,4.932735426008969,4.496978851963746,4.75,7.615502248201438e-05,222.2959532374101,12,24,20,43
662860,31905.092257001652,43589.686131386865,6075.393029490616,3818.849710982659,963.743684053421,30.64825581395349,25.04673590504451,4.030710172744722,3.703898864961788,0.00014910908889268046,182.28517744412213,12,24,20,59
662861,32361.882954545454,8917.209051724138,6153.629925599339,4426.899193548387,448.6515779495239,30.886666666666667,3.7649682838476988,3.75,3.7606737151123215,0.00010734617123156484,198.3509864010726,12,24,21,7
662862,34652.50523012552,8014.676848874597,5832.402789638485,4372.258064516129,498.3196699619293,30.785527299925207,4.265997490589712,3.068493150684932,3.0341303376962454,0.00011179336017980894,198.67956077917214,12,24,21,15
